Activity,Category
Compliance,Keeping the lights on
Cust Escalation,Keeping the lights on
DevOps Mgmt.,Product Maintenance & Support
Functional Testing,Product Maintenance & Support
Hardware Migration,Product Maintenance & Support
Inst Mgmt.,Product Maintenance & Support
L & D,Organization
Leaves,Leaves
Others,Organization
Paid FE,Product Innovation
Perf Mgmt.,Product Maintenance & Support
Pref Mgmt.,Product Maintenance & Support
PS & Sales Support,Sales and PS Support
R & D,Product Innovation
Recon Mgmt.,Product Maintenance & Support
Release Mgmt.,Product Maintenance & Support
Roadmap FE,Product Innovation
Scrum/Kanban Meetings,Product Innovation
Stop & Fix,Product Maintenance & Support
Tools,Product Maintenance & Support
Upgrade Support,Product Maintenance & Support
Billable,Sales and PS Support
Calc_Scrum/Kanban Meetings,Product Maintenance & Support
MN_Scrum/Kanban Meetings,Product Maintenance & Support
IN_Scrum/Kanban Meetings,Product Innovation
